numero_compteur,avg_amperage_per_day,median_amperage_per_day,avg_depense_per_day,jours_observed,records_per_day_avg,zone,type_maison,nombre_personnes,ratio_depense_amperage,niveau_conso,niveau_conso_pred,prob_petit,prob_moyen,prob_grand,confiance
SGJR_00342,2.3565573770491803,1.4,0.02492136612021858,61,17.491803278688526,Janrabel,Rezidansyel,4.0,0.010575327531744266,moyen,moyen,0.00023508357,0.9995065,0.00025842086,0.9995065
SGJR_00343,2.9333333333333336,3.01,0.025422222222222225,3,8.333333333333334,Janrabel,Rezidansyel,4.0,0.008666666663712122,moyen,moyen,0.00037085192,0.9993666,0.00026258206,0.9993666
SGJR_00344,1.213716814159292,0.39,0.013215575221238939,113,18.353982300884955,Janrabel,Rezidansyel,4.0,0.010888516214142163,petit,grand,0.0002802842,0.0007366285,0.9989831,0.9989831
SGJR_00345,2.0280392156862748,1.12,0.023516209150326796,51,14.176470588235293,Janrabel,Rezidansyel,4.0,0.011595539650732803,moyen,moyen,0.00014945868,0.99966455,0.00018605453,0.99966455
SGJR_00346,1.6567307692307693,0.35,0.01649794871794872,260,11.742307692307692,Janrabel,Rezidansyel,4.0,0.009958135029779575,moyen,moyen,0.00018356812,0.9996563,0.00016006561,0.9996563
SGJR_00348,23.111666666666668,4.18,0.24126344444444445,30,20.3,Janrabel,Rezidansyel,4.0,0.010439032715108043,grand,petit,0.99936694,0.00044064788,0.00019245359,0.99936694
SGJR_00349,0.32,0.32,0.0031333333333333335,2,32.0,Janrabel,Rezidansyel,4.0,0.009791666636067708,petit,grand,0.0001624868,0.00026669432,0.9995708,0.9995708
SGJR_0035,0.0,0.0,0.0,1,11.0,Janrabel,Rezidansyel,4.0,0.0,petit,grand,0.0003243646,0.0004932267,0.9991824,0.9991824
SGJR_00350,0.18482758620689657,0.09,0.0006160919540229885,29,1.793103448275862,Janrabel,Rezidansyel,4.0,0.003333333315298507,petit,grand,0.00031170165,0.0005945538,0.9990938,0.9990938
SGJR_00351,22.17,0.685,0.2567013888888889,72,18.90277777777778,Janrabel,Rezidansyel,4.0,0.011578772615124496,grand,petit,0.9994444,0.00034272127,0.00021282167,0.9994444
SGJR_00356,1.5164285714285717,0.8500000000000001,0.014387380952380954,14,11.5,Janrabel,Rezidansyel,4.0,0.009487674667946578,moyen,moyen,0.0004960944,0.9980509,0.0014530135,0.9980509
SGJR_00357,1.76,1.76,0.014666666666666666,1,22.0,Janrabel,Rezidansyel,4.0,0.008333333328598484,moyen,moyen,0.0005711798,0.99859744,0.0008313851,0.99859744
SGJR_00358,3.795,1.9300000000000002,0.04355807692307692,26,24.96153846153846,Janrabel,Rezidansyel,2.0,0.011477754126903602,grand,petit,0.99935955,0.00042515548,0.00021531699,0.99935955
SGJR_0036,0.10830508474576271,0.06,0.001116949152542373,59,7.864406779661017,Janrabel,Rezidansyel,4.0,0.010312988950161762,petit,grand,0.00017095436,0.00028643067,0.9995426,0.9995426
SGJR_00363,1.6805797101449276,0.25,0.015865579710144927,138,19.557971014492754,Janrabel,Rezidansyel,4.0,0.009440539835707163,moyen,moyen,0.00021292419,0.9996302,0.00015680787,0.9996302
SGJR_00364,6.2057142857142855,2.0300000000000002,0.0658663492063492,21,20.428571428571427,Janrabel,Rezidansyel,4.0,0.010613822384211503,grand,petit,0.9995504,0.00025931752,0.00019028575,0.9995504
SGJR_00366,6.6287692307692305,1.01,0.058910256410256406,65,16.03076923076923,Janrabel,Rezidansyel,4.0,0.00888705796664657,grand,petit,0.99965537,0.00021135554,0.00013327421,0.99965537
SGJR_00367,1.06,1.06,0.009073333333333333,1,23.0,Janrabel,Rezidansyel,4.0,0.00855974841959772,petit,grand,0.00033024052,0.00043950573,0.99923027,0.99923027
SGJR_00368,1.1314285714285715,0.66,0.009674285714285715,21,17.0,Janrabel,Rezidansyel,4.0,0.008550505042947786,petit,grand,0.00031738973,0.00041022414,0.9992724,0.9992724
SGJR_00369,0.786,0.55,0.007669055555555556,60,9.266666666666667,Janrabel,Rezidansyel,4.0,0.009757068124425557,petit,grand,0.0001770171,0.00030648443,0.9995165,0.9995165
SGJR_0037,1.7126666666666668,0.15,0.01699809523809524,210,14.761904761904763,Janrabel,Rezidansyel,4.0,0.009924929093910262,moyen,moyen,0.00018356812,0.9996563,0.00016006561,0.9996563
SGJR_00370,0.0,0.0,0.0,1,32.0,Janrabel,Rezidansyel,4.0,0.0,petit,grand,0.0003243646,0.0004932267,0.9991824,0.9991824
SGJR_00371,3.25,3.42,0.034693749999999995,8,29.25,Janrabel,Rezidansyel,4.0,0.010674999996715383,moyen,moyen,0.00032680228,0.99936336,0.00030980346,0.99936336
SGJR_00372,1.4600000000000002,1.4600000000000002,0.012266666666666667,2,28.0,Janrabel,Rezidansyel,4.0,0.008401826478263588,moyen,moyen,0.0005696676,0.998135,0.0012953852,0.998135
SGJR_00373,0.3514285714285714,0.27,0.0030028571428571426,7,16.714285714285715,Janrabel,Rezidansyel,4.0,0.00854471542284024,petit,grand,0.0003188896,0.00042439922,0.9992567,0.9992567
SGJR_00374,0.71,0.71,0.006153333333333333,1,52.0,Janrabel,Rezidansyel,4.0,0.008666666654460094,petit,grand,0.0003188896,0.00042439922,0.9992567,0.9992567
SGJR_00375,2.247826086956522,0.1,0.01998385507246377,115,13.669565217391304,Janrabel,Rezidansyel,4.0,0.008890303026347962,moyen,moyen,0.0003534296,0.9994367,0.00020984131,0.9994367
SGJR_00378,3.40275,0.36,0.03487383333333333,40,20.3,Janrabel,Rezidansyel,4.0,0.010248720394705637,moyen,moyen,0.00019192621,0.9996401,0.00016794117,0.9996401
SGJR_00379,3.583548387096774,1.3900000000000001,0.02978354838709677,31,29.096774193548388,Janrabel,Rezidansyel,4.0,0.008311189123614664,grand,petit,0.9964557,0.0032244779,0.00031975133,0.9964557
SGJR_0038,16.01158536585366,1.4300000000000002,0.1557449593495935,82,23.4390243902439,Janrabel,Rezidansyel,4.0,0.009727016768246355,grand,petit,0.9994898,0.00034514553,0.00016502435,0.9994898
SGJR_00380,1.4620454545454544,0.9349999999999999,0.015069747474747474,132,11.803030303030303,Janrabel,Rezidansyel,4.0,0.01030730434378,moyen,moyen,0.00017725238,0.999521,0.00030179234,0.999521
SGJR_00381,2.9979591836734696,1.1300000000000001,0.02913734693877551,49,13.204081632653061,Janrabel,Rezidansyel,4.0,0.009719060582190374,moyen,moyen,0.00014981344,0.99970645,0.00014366928,0.99970645
